raw_line,name_cn,name_en,aliases
- **中英文通用名**: 丁吡吗啉 (Difenoconazole)，别名：氟环唑,丁吡吗啉,Difenoconazole,氟环唑
- **中英文通用名**: 丁噻隆 (Dinoterb)，别名：丁草特、丁草灵,丁噻隆,Dinoterb,丁草特、丁草灵
- **中英文通用名**: 丁基嘧啶磷 (Butylpyridaphenthion)，别名：丁基吡啶磷,丁基嘧啶磷,Butylpyridaphenthion,丁基吡啶磷
- **中英文通用名**: 丁氟消草 (Diflufenican)，别名：氟消草,丁氟消草,Diflufenican,氟消草
- **中英文通用名**: 丁氟螨酯 (Bifenazate)，别名：联苯肼酯,丁氟螨酯,Bifenazate,联苯肼酯
- **中英文通用名**: 丁硫克百威 (Dinotefuran)，别名：尼诺特福兰 (Nitenpyram),丁硫克百威,Dinotefuran,尼诺特福兰 (Nitenpyram)
- **中英文通用名**: 丁苯吗啉 (Fenpropimorph)，别名：苯吗啉,丁苯吗啉,Fenpropimorph,苯吗啉
- **中英文通用名**: 丁苯草酮 (Bensulfuron-methyl)，别名：苯磺隆甲酯,丁苯草酮,Bensulfuron-methyl,苯磺隆甲酯
- **中英文通用名**: 丁草胺 (Butachlor)，别名：丁草胺、丁草灵,丁草胺,Butachlor,丁草灵
- **中英文通用名**: 丁虫腈 (Dinotefuran)，别名：尼诺特福兰 (Nitenpyram),丁虫腈,Dinotefuran,尼诺特福兰 (Nitenpyram)
- **中英文通用名**: 丁酮砜威 (Diflubenzuron)，别名：保幼灵、抑食肼,丁酮砜威,Diflubenzuron,保幼灵、抑食肼
- **中英文通用名**: 丁酰肼 (Butralin)，别名：丁草胺,丁酰肼,Butralin,丁草胺
- **中英文通用名**: 丁醚脲 (Dinotefuran)，别名：尼诺特福兰,丁醚脲,Dinotefuran,尼诺特福兰
- **中英文通用名**: 丁香菌酯 (Dichlobenil)，别名：百草枯、克草灵,丁香菌酯,Dichlobenil,百草枯、克草灵
"- **中英文通用名**: 七氟甲醚菊酯 (Fluoromethrin), 别名：氟甲醚菊酯",七氟甲醚菊酯,Fluoromethrin,氟甲醚菊酯
"- **中英文通用名**: 七氟菊酯 (Emamectin benzoate, 常见别名：氟虫腈)",七氟菊酯,Emamectin benzoate,常见别名:氟虫腈
"- **中英文通用名**: 三乙膦酸铝 (Aluminum Tris(ethyl phosphonate)；常见别名：Altrazine, Altrate)",三乙膦酸铝,Aluminum Tris(ethyl phosphonate);常见别名:Altrazine,Altrate
- **中英文通用名**: 三元硫酸铜 (Trichlorocuprate(II)),三元硫酸铜,Trichlorocuprate(II),
**中英文通用名**: 三十烷醇 (Tricontanol)，别名：三癸醇、C30醇,三十烷醇,Tricontanol,三癸醇、C30醇
- **中英文通用名**: 三唑磷 (Triazophos)，常见别名：敌百虫、速灭磷,三唑磷,Triazophos,敌百虫、速灭磷
- **中英文通用名**: 三唑磺草酮 (Trifloxysulfuron-sodium)，别名：稻喜,三唑磺草酮,Trifloxysulfuron-sodium,稻喜
- **中英文通用名**: 三唑酮 (Triadimefon)，别名：百菌清、粉锈宁,三唑酮,Triadimefon,百菌清、粉锈宁
- **中英文通用名**: 三唑酰草胺 (Trifludimoxazin)，别名：氟草定,三唑酰草胺,Trifludimoxazin,氟草定
- **中英文通用名**: 三唑醇 (Triadimenol)，常见别名：三环唑醇,三唑醇,Triadimenol,三环唑醇
- **中英文通用名**: 三唑锡 (Tetraconazole)，别名：速保利、三唑醇,三唑锡,Tetraconazole,速保利、三唑醇
- **中英文通用名**: 三嗪氟草胺 (Flufenacet)，别名：氟草胺,三嗪氟草胺,Flufenacet,氟草胺
- **中英文通用名**: 三嗪茚草胺 (Trifludimoxazin)，别名：氟啶草酮,三嗪茚草胺,Trifludimoxazin,氟啶草酮
- **中英文通用名**: 三氟咪啶酰胺 (Triflumizamide)，别名：无,三氟咪啶酰胺,Triflumizamide,
- **中英文通用名**: 三氟啶磺隆钠 (Trifloxysulfuron Sodium)，别名：三氟啶磺隆钠盐,三氟啶磺隆钠,Trifloxysulfuron Sodium,三氟啶磺隆钠盐
- **中英文通用名**: 三氟啶磺隆钠盐 (Trifloxysulfuron sodium)，别名：三氟啶磺隆钠,三氟啶磺隆钠盐,Trifloxysulfuron sodium,三氟啶磺隆钠
- **中英文通用名**: 三氟杀线酯 (Fluensulfone)，别名：线虫清,三氟杀线酯,Fluensulfone,线虫清
- **中英文通用名**: 三氟甲吡醚 (Triflumizole)，别名：氟硅唑,三氟甲吡醚,Triflumizole,氟硅唑
- **中英文通用名**: 三氟甲磺隆 (Trifloxysulfuron)，别名：三氟磺隆,三氟甲磺隆,Trifloxysulfuron,三氟磺隆
- **中英文通用名**: 三氟羧草醚 (Trifloxysulfuron-sodium)，别名：农得时,三氟羧草醚,Trifloxysulfuron-sodium,农得时
- **中英文通用名**: 三氟羧草醚钠盐 (Sodium Trifluroacetate),三氟羧草醚钠盐,Sodium Trifluroacetate,
- **中英文通用名**: 三氟苯嘧啶 (Trifloxysulfuron)，别名：三氟苯磺隆,三氟苯嘧啶,Trifloxysulfuron,三氟苯磺隆
- **中英文通用名**: 三氯乙酸钠 (Sodium Trichloroacetate)，常见别名：三氯醋酸钠,三氯乙酸钠,Sodium Trichloroacetate,三氯醋酸钠
- **中英文通用名**: 三氯吡氧乙酸 (Triclopyr)，别名：特克利、农达克,三氯吡氧乙酸,Triclopyr,特克利、农达克
- **中英文通用名**: 三氯吡氧乙酸丁氧基乙酯 (Clopyralid butoxyethyl ester)，常见别名：CLOPYR,三氯吡氧乙酸丁氧基乙酯,Clopyralid butoxyethyl ester,CLOPYR
